0,576,60,1629592696.3937619
0,576,60,1629592696.4869165
0,576,60,1629592696.5839174
1,67,57,1629592696.5859363
2,24,88,1629592727.9924853
2,32,83,1629592728.0713966
2,42,81,1629592728.1463928
2,54,79,1629592728.2256536
2,63,79,1629592728.3029127
2,74,78,1629592728.381355
2,86,76,1629592728.458266
2,52,60,1629592728.460241
3,130,74,1629592728.6247637
3,156,73,1629592728.7103355
3,117,56,1629592728.7123358
3,116,53,1629592728.7903342
4,205,71,1629592728.8674324
4,234,70,1629592728.9444287
4,259,69,1629592729.0235038
4,291,67,1629592729.1018481
4,321,66,1629592729.1808307
4,352,65,1629592729.257471
4,381,64,1629592729.3312674
5,317,41,1629592729.333268
4,411,62,1629592729.4118373
4,439,60,1629592729.4839876
4,474,60,1629592729.5650356
4,505,59,1629592729.6406033
4,539,54,1629592729.7194781
4,570,54,1629592729.79943
4,603,51,1629592729.8754606
4,635,51,1629592729.9504395
4,667,51,1629592730.0285044
4,700,50,1629592730.1104765
4,730,48,1629592730.184518
4,762,49,1629592730.2681417
4,792,47,1629592730.338587
4,817,47,1629592730.419832
4,836,46,1629592730.4967134
4,850,46,1629592730.5731306
4,868,45,1629592730.6491113
6,1006,51,1629592730.7278552
4,883,45,1629592730.7298508
6,1017,44,1629592730.803918
4,898,44,1629592730.8058872
6,1028,43,1629592730.8818524
4,911,43,1629592730.8828585
6,1041,43,1629592730.9588418
6,1050,43,1629592731.0424829
6,1061,42,1629592731.1137862
6,1068,42,1629592731.1903493
6,1087,41,1629592731.2690735
6,1098,41,1629592731.3444383
6,1109,40,1629592731.421384
6,1120,41,1629592731.4980202
6,1129,40,1629592731.5753598
6,1138,38,1629592731.6518598
